what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1293026997885
ws,sysinfo,,,"gtk",1293026997885
locale,sysinfo,,,"es_US",1293026997885
processors,sysinfo,,,"2",1293026997885
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1293026997885
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1293026997885
java.specification.name,sysinfo,,,"Java Platform API Specification",1293026997885
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293026997885
java.specification.version,sysinfo,,,"1.6",1293026997885
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1293026997885
java.version,sysinfo,,,"1.6.0_18",1293026997885
java.vm.info,sysinfo,,,"mixed mode, sharing",1293026997885
java.vm.name,sysinfo,,,"OpenJDK Client VM",1293026997885
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293026997885
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293026997885
java.vm.specification.version,sysinfo,,,"1.0",1293026997885
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1293026997885
java.vm.version,sysinfo,,,"16.0-b13",1293026997885
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1293026997905
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293027018380
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293027018883
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1293027019031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293027019289
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293027021820
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1293027024840
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1293027024851
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1293027025256
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1293027025643
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1293027025792
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1293027025807
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1293027025830
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293027038127
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293027039000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293027042689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293027056957
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293027058049
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1293027074007
started,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1293027074012
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1293027074028
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1293027074430
started,bundle,org.eclipse.cdt.dsf.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.ui",1293027074474
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1293027074690
started,bundle,org.eclipse.core.externaltools,1.0.0.v20100505,"org.eclipse.core.externaltools",1293027074743
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1293027075557
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1293027075634
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293027075892
