what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020406327
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020407840
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020442410
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1293020442456
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293020488905
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1293020491603
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020495438
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020531372
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1293020533561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020543864
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020548768
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293020562969
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020575303
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020577913
error,log,,,"Unable to get CElement for Macro",1293020581098
error,log,,,"Unable to get CElement for Macro",1293020581099
error,log,,,"Unable to get CElement for Macro",1293020581099
error,log,,,"Unable to get CElement for Macro",1293020581100
error,log,,,"Unable to get CElement for Macro",1293020581100
error,log,,,"Unable to get CElement for Macro",1293020581101
error,log,,,"Unable to get CElement for Macro",1293020581101
error,log,,,"Unable to get CElement for Macro",1293020581102
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293020581131
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020587644
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020590798
error,log,,,"Unable to get CElement for Macro",1293020601534
error,log,,,"Unable to get CElement for Macro",1293020601534
error,log,,,"Unable to get CElement for Macro",1293020601535
error,log,,,"Unable to get CElement for Macro",1293020601535
error,log,,,"Unable to get CElement for Macro",1293020601536
error,log,,,"Unable to get CElement for Macro",1293020601536
error,log,,,"Unable to get CElement for Macro",1293020601537
error,log,,,"Unable to get CElement for Macro",1293020601537
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293020601561
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1293020615302
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020618326
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020632925
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1293020634597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020642057
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020644886
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1293020655127
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1293020656667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293020663798
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020665694
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020667166
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293020672845
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293020673989
closed,editor,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1293020678721
closed,editor,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1293020680154
closed,editor,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1293020681758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020683230
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020701312
closed,editor,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1293020704742
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293020706378
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293020721332
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293021259521
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293021266950
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293021300228
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293021302419
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293021720441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293021802217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293021866477
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293021905379
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293021949918
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1293021953509
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1293021968899
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1293021986087
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022025207
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022026572
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022039377
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022055697
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022056427
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1293022071649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1293022071790
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1293022072135
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1293022072373
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1293022112356
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1293022113548
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022142790
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022143620
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022172889
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022173646
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022207596
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1293022210120
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022213068
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1293022214951
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022266600
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022267658
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022281072
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022281903
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022294714
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022295664
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293022336500
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293022346462
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022358758
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022359361
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022399034
error,log,,,"Unable to get CElement for Macro",1293022495436
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293022495458
error,log,,,"Unable to get CElement for Macro",1293022502321
error,log,,,"Unable to get CElement for Macro",1293022502322
error,log,,,"Unable to get CElement for Macro",1293022502322
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293022502353
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293022508711
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293022514026
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1293022524709
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1293022526172
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1293022528872
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293022535415
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022539095
error,log,,,"Unable to get CElement for Macro",1293022551762
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293022551785
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022567333
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022568521
error,log,,,"Unable to get CElement for Macro",1293022591524
error,log,,,"Unable to get CElement for Macro",1293022591525
error,log,,,"Unable to get CElement for Macro",1293022591525
error,log,,,"Unable to get CElement for Macro",1293022591526
error,log,,,"Unable to get CElement for Macro",1293022591527
error,log,,,"Unable to get CElement for Macro",1293022591527
error,log,,,"Unable to get CElement for Macro",1293022591528
error,log,,,"Unable to get CElement for Macro",1293022591529
error,log,,,"Unable to get CElement for Macro",1293022591529
error,log,,,"Unable to get CElement for Macro",1293022591530
error,log,,,"Unable to get CElement for Macro",1293022591530
error,log,,,"Unable to get CElement for Macro",1293022591531
error,log,,,"Unable to get CElement for Macro",1293022591532
error,log,,,"Unable to get CElement for Macro",1293022591533
error,log,,,"Unable to get CElement for Macro",1293022591533
error,log,,,"Unable to get CElement for Macro",1293022591534
error,log,,,"Unable to get CElement for Macro",1293022591534
error,log,,,"Unable to get CElement for Macro",1293022591535
error,log,,,"Unable to get CElement for Macro",1293022591536
error,log,,,"Unable to get CElement for Macro",1293022591536
error,log,,,"Unable to get CElement for Macro",1293022591537
error,log,,,"Unable to get CElement for Macro",1293022591537
error,log,,,"Unable to get CElement for Macro",1293022591538
error,log,,,"Unable to get CElement for Macro",1293022591539
error,log,,,"Unable to get CElement for Macro",1293022591539
error,log,,,"Unable to get CElement for Macro",1293022591540
error,log,,,"Unable to get CElement for Macro",1293022591540
error,log,,,"Unable to get CElement for Macro",1293022591541
error,log,,,"Unable to get CElement for Macro",1293022591542
error,log,,,"Unable to get CElement for Macro",1293022591542
error,log,,,"Unable to get CElement for Macro",1293022591543
error,log,,,"Unable to get CElement for Macro",1293022591543
error,log,,,"Unable to get CElement for Macro",1293022591546
error,log,,,"Unable to get CElement for Macro",1293022591546
error,log,,,"Unable to get CElement for Macro",1293022591547
error,log,,,"Unable to get CElement for Macro",1293022591548
error,log,,,"Unable to get CElement for Macro",1293022591548
error,log,,,"Unable to get CElement for Macro",1293022591549
error,log,,,"Unable to get CElement for Macro",1293022591550
error,log,,,"Unable to get CElement for Macro",1293022591550
error,log,,,"Unable to get CElement for Macro",1293022591551
error,log,,,"Unable to get CElement for Macro",1293022591551
error,log,,,"Unable to get CElement for Macro",1293022591552
error,log,,,"Unable to get CElement for Macro",1293022591553
error,log,,,"Unable to get CElement for Macro",1293022591553
error,log,,,"Unable to get CElement for Macro",1293022591554
error,log,,,"Unable to get CElement for Macro",1293022591554
error,log,,,"Unable to get CElement for Macro",1293022591555
error,log,,,"Unable to get CElement for Macro",1293022591557
error,log,,,"Unable to get CElement for Macro",1293022591557
error,log,,,"Unable to get CElement for Macro",1293022591558
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293022591586
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1293022598241
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1293022598697
error,log,,,"Unable to get CElement for Macro",1293022640282
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1293022640309
